958045330994, Jaisingrao, Madan, 28, male, West Bengal, Kolkata, 42, 154
767036574730, Shilpa, Jain, 29, female, West Bengal, Kolkata, 46, 146
155281143777, Aashu, Biswas, 7, male, Punjab, Ludhiana, 17, 81
443284116365, Manu, Tata, 8, male, Maharashtra, Vasai Virar, 18, 90
771290301637, Nachiketa, Iyengar, 28, male, Maharashtra, Pune, 60, 156
199009050122, Srinivasa, Kala, 7, male, Maharashtra, Vasai Virar, 13, 83
801887018751, Gita, Chander, 34, female, Tamil Nadu, Chennai, 54, 148
696151097231, Poulomi, Kashyap, 23, female, Maharashtra, Mumbai, 61, 151
190007293503, Gayatri, Tank, 28, female, Gujarat, Rajkot, 70, 151
490625483198, Prasanta, Lala, 6, male, Tamil Nadu, Coimbatore, 12, 71
772702409846, Yamini, Vig, 10, female, Uttar Pradesh, Kanpur, 23, 102
683513827567, Balakrishna, Arya, 17, male, Madhya Pradesh, Gwalior, 38, 151
766275555940, Vishal, Sanghvi, 15, male, Uttar Pradesh, Kanpur, 43, 138
460991575291, Neetu, Amble, 11, female, Maharashtra, Nagpur, 32, 106
933454868724, Rama Devi, Baria, 25, male, Maharashtra, Solapur, 64, 155
392932797557, Nimisha, Dey, 14, female, Jammu and Kashmir, Srinagar, 34, 125
899667730297, Keerthi, Batra, 8, female, Punjab, Amritsar, 14, 79
106037460955, Sonal, Mander, 16, male, Tamil Nadu, Chennai, 50, 145
873779049115, Ranganathan, Dave, 21, male, West Bengal, Kolkata, 60, 156
788108838300, Ravindranath, Randhawa, 18, male, Punjab, Amritsar, 66, 154
755041942940, Vemuri, Dugar, 16, male, Delhi, Delhi, 39, 144
187994875462, Vaibhav, Dyal, 33, male, Maharashtra, Aurangabad, 54, 154
19015854236, Akhila, Khanna, 35, female, Jammu and Kashmir, Srinagar, 43, 148
992621467046, Chakravarthy, Konda, 24, male, Maharashtra, Thane, 68, 156
452761101997, Parvati, Tailor, 27, female, Uttar Pradesh, Agra, 44, 149
749063087809, Chetan, Ravel, 32, male, Uttar Pradesh, Meerut, 36, 156
753929078134, Lakshmi, Yadav, 14, female, Andhra Pradesh, Visakhapatnam, 29, 124
509198885837, Krishna Das, Kulkarni, 16, male, Tamil Nadu, Chennai, 26, 143
673243450161, Pratibha, Bhargava, 22, female, Andhra Pradesh, Visakhapatnam, 35, 148
532276887859, Shyam, Master, 12, male, Tamil Nadu, Coimbatore, 41, 111
985812243829, Ramya, Keer, 30, female, Jharkhand, Dhanbad, 39, 148
47263084425, Kanchana, Mall, 33, female, Jharkhand, Dhanbad, 49, 150
341699786315, Arpita, Venkatesh, 8, female, Maharashtra, Navi Mumbai, 11, 80
111138131687, Babu, Basak, 18, male, Tamil Nadu, Chennai, 43, 155
496691953891, Rashmi, Khanna, 25, female, Jharkhand, Ranchi, 69, 150
460385570820, Anushree, Tara, 23, female, Punjab, Amritsar, 51, 149
782864850931, Yamini, Jhaveri, 33, male, Haryana, Faridabad, 57, 151
130744457815, Ravikumar, Bansal, 19, male, West Bengal, Haora, 68, 156
242555611872, Dhanishka, Sathe, 28, male, Maharashtra, Kalyan and Dombivali, 21, 156
52809829172, Ravindranath, Vora, 26, male, Uttar Pradesh, Kanpur, 43, 156
374164215750, Santosh, Kala, 17, male, Uttar Pradesh, Agra, 61, 151
307102253946, Sujata, Gupta, 25, female, Madhya Pradesh, Indore, 54, 147
77431394250, Babu, Mangal, 38, male, Punjab, Ludhiana, 49, 158
436499395615, Harsh Vardhan, Mander, 20, male, Maharashtra, Kalyan and Dombivali, 67, 155
805121621292, Anasuya, Dixit, 25, female, Andhra Pradesh, Vijayawada, 34, 151
59878816886, Chandramouli, Lad, 32, male, Maharashtra, Navi Mumbai, 43, 151
19626537517, Manjula, Rout, 39, female, Uttar Pradesh, Agra, 51, 146
43170470149, Eva, Dhar, 31, female, Punjab, Amritsar, 51, 150
463692073741, Arti, Iyer, 18, female, Andhra Pradesh, Visakhapatnam, 63, 150
840498238771, Aashu, Hans, 12, male, West Bengal, Kolkata, 33, 119
675722764383, Raghava, Kumer, 24, male, Maharashtra, Mumbai, 43, 156
924118647261, Balakrishna, Bawa, 35, male, Madhya Pradesh, Jabalpur, 62, 158
155177541731, Dhanishka, Hayre, 26, female, Maharashtra, Mumbai, 43, 147
74238843346, Deo, Mahal, 25, male, Jharkhand, Ranchi, 72, 153
40202103294, Leila, Garg, 27, female, Rajasthan, Jaipur, 57, 152
748042632340, Tanushree, Khosla, 20, female, Gujarat, Rajkot, 57, 151
357282905459, Neetu, Soman, 12, female, Uttar Pradesh, Meerut, 26, 116
278103051719, Suryanarayana, Sami, 32, male, Rajasthan, Jaipur, 45, 154
278857391540, Tejaswi, Manda, 38, female, Andhra Pradesh, Visakhapatnam, 60, 147
